epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5822,6.0672,10.392,2.24489,0,0,0,0,4.44444,12.1084,3.39879,0.09703,3e-05,3e-05
2,51.3725,5.2528,10.0739,2.17299,0,0,0,0,4.70565,17.6802,3.61409,0.0930683,6.82675e-05,6.82675e-05
3,92.225,5.0041,4.99863,1.98031,0.01294,0.00917,0.00229,0.00023,7.55877,63.1374,5.65059,0.0891046,0.000104555,0.000104555
4,124.69,4.6648,3.19804,1.9641,0,0,0,0,7.62689,64.3722,5.92262,0.0851389,0.000138863,0.000138863
5,150.899,5.0767,3.01035,2.00858,0.00087,0.01835,0.0004,0.00013,7.64005,146.572,5.91751,0.0811712,0.00017119,0.00017119
6,163.574,4.90959,2.71019,1.93519,0,0,0,0,7.35163,70.3224,5.90631,0.0772015,0.000201537,0.000201537
7,179.711,4.60876,2.53283,1.95017,0.01269,0.00917,0.00565,0.0017,6.92835,17.8381,5.70679,0.0732299,0.000229905,0.000229905
8,201.209,4.32633,2.35032,1.9195,0.00308,0.01835,0.00151,0.00038,7.11413,21.7866,5.88283,0.0692563,0.000256292,0.000256292
9,222.112,4.41101,2.30658,1.86981,0,0,0,0,7.15087,67.445,5.94903,0.0652807,0.0002807,0.0002807
10,234.953,4.44127,2.31511,1.90704,0.0019,0.00917,0.00043,9e-05,7.35902,52.1416,5.77532,0.0613031,0.000303127,0.000303127
11,249.737,4.36232,2.24011,1.86397,0.00875,0.00917,0.00053,0.00016,6.77258,31.166,5.55895,0.0573236,0.000323575,0.000323575
12,267.362,4.43864,2.46712,1.82957,0.00393,0.00917,0.00043,0.00013,7.38854,35.0425,6.04012,0.053342,0.000342042,0.000342042
13,282.433,4.28039,2.18853,1.86738,0.00916,0.00917,0.00067,0.00027,7.80586,26.8609,6.27244,0.0493585,0.00035853,0.00035853
14,300.963,4.28859,2.25203,1.87035,0.034,0.00917,0.00123,0.00061,7.75281,20.3791,6.0736,0.045373,0.000373038,0.000373038
15,315.501,4.25101,2.18644,1.86361,0.00097,0.00917,0.00037,9e-05,8.55646,59.605,6.68837,0.0413856,0.000385565,0.000385565
16,331.513,4.3754,2.13834,1.81223,0.00111,0.00917,0.00029,7e-05,8.83852,81.1769,6.90547,0.0373961,0.000396113,0.000396113
17,346.627,4.35777,2.27812,1.85559,0.00185,0.00917,0.00034,8e-05,8.63338,65.4695,6.79879,0.0334047,0.00040468,0.00040468
18,358.277,4.28978,2.10216,1.85633,0.02218,0.01835,0.00253,0.00063,7.73141,15.8722,6.33532,0.0294113,0.000411267,0.000411267
19,376.547,4.08499,1.95613,1.85503,0.04666,0.01835,0.00516,0.00179,7.69445,12.2619,6.30345,0.0254159,0.000415875,0.000415875
20,390.48,4.25621,1.95309,1.82383,0.01852,0.01835,0.00797,0.00243,7.56608,12.3271,5.9803,0.0214185,0.000418503,0.000418503
21,410.445,4.08069,1.88649,1.80782,0.03363,0.00917,0.01637,0.00491,8.14054,10.4552,6.21591,0.0174191,0.00041915,0.00041915
22,422.949,3.96859,1.83943,1.82097,0.06061,0.01835,0.03557,0.0096,7.89467,10.6582,5.94047,0.0134178,0.000417818,0.000417818
23,436.585,4.02734,1.82875,1.81786,0.08231,0.01835,0.04419,0.01168,7.56141,10.3892,5.66499,0.0094145,0.000414505,0.000414505
24,450.607,4.12896,1.83086,1.80043,0.11765,0.01835,0.06207,0.01577,7.26011,10.0182,5.51238,0.00540921,0.000409213,0.000409213
25,465.096,3.87676,1.93391,1.82608,0.23172,0.01835,0.05737,0.01438,6.92336,9.70685,5.42987,0.00140194,0.00040194,0.00040194
