epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,478.145,3.90089,1.84955,1.80006,0.15331,0.02752,0.0658,0.01902,6.44145,9.64774,5.19608,0.00038125,0.00038125,0.00038125
27,495.143,3.86694,1.83756,1.81988,0.55524,0.02752,0.06693,0.0167,6.04591,9.37902,5.04097,0.0003565,0.0003565,0.0003565
28,507.166,3.78771,1.7793,1.80206,0.58495,0.02752,0.07306,0.01759,6.08724,8.95016,5.1622,0.00033175,0.00033175,0.00033175
29,519.006,4.16843,1.83678,1.80336,0.38103,0.01835,0.03251,0.00963,6.37207,8.84903,5.44301,0.000307,0.000307,0.000307
30,534.135,3.98243,1.83896,1.77645,0.37505,0.01835,0.02447,0.00721,6.51655,9.20702,5.60574,0.00028225,0.00028225,0.00028225
31,552.473,3.82469,1.76367,1.82387,0.56737,0.02752,0.04288,0.00741,6.40734,9.23898,5.49729,0.0002575,0.0002575,0.0002575
32,563.021,3.82102,1.77874,1.77829,0.47102,0.02752,0.04867,0.00977,6.2753,9.1413,5.41551,0.00023275,0.00023275,0.00023275
33,576.384,3.6222,1.71493,1.79023,0.17739,0.02752,0.04589,0.00938,6.21187,8.92846,5.41558,0.000208,0.000208,0.000208
34,585.822,3.85414,1.7452,1.82297,0.09313,0.02752,0.0539,0.01132,6.27572,8.9568,5.42789,0.00018325,0.00018325,0.00018325
35,599.998,3.64422,1.6451,1.77739,0.42184,0.00917,0.02061,0.00824,6.45262,8.98481,5.54398,0.0001585,0.0001585,0.0001585
36,609.975,3.52341,1.66274,1.768,0.05882,0.01835,0.03474,0.01089,6.51487,9.02303,5.56323,0.00013375,0.00013375,0.00013375
37,620.187,3.59026,1.63835,1.79837,0.08705,0.02752,0.05035,0.01124,6.56001,9.1333,5.57748,0.000109,0.000109,0.000109
38,631.058,3.60484,1.60831,1.74291,0.07208,0.02752,0.05098,0.01264,6.56413,9.23769,5.55217,8.425e-05,8.425e-05,8.425e-05
39,644.766,3.5104,1.58246,1.773,0.07317,0.02752,0.05162,0.01282,6.58218,9.21635,5.56227,5.95e-05,5.95e-05,5.95e-05
40,655.456,3.47473,1.54124,1.80791,0.06522,0.02752,0.04761,0.01174,6.58348,9.22433,5.54828,3.475e-05,3.475e-05,3.475e-05
