epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54862,0,0,33.9816,0,0,0,0,0,0,0,0,0,0,0,42.5932,0,2e-05,2e-05,2e-05
2,7.06164,0,0,33.8635,0,0,0,0,0,0,0,0,0,0,0,42.7123,0,5.8812e-05,5.8812e-05,5.8812e-05
3,10.4861,0,0,33.3418,0,0,0,0,0,0,0,0,0,0,0,42.8155,0,9.604e-05,9.604e-05,9.604e-05
4,13.9225,0,0,33.0134,0,0,0,0,0,0,0,0,0,0,0,42.8622,0,0.000131684,0.000131684,0.000131684
5,17.4534,0,0,32.6991,0,0,0,0,0,0,0,0,0,0,0,42.8464,0,0.000165744,0.000165744,0.000165744
6,21.0741,0,0,32.4426,0,0,0,0,0,0,0,0,0,0,0,42.792,0,0.00019822,0.00019822,0.00019822
7,24.6407,0,0,32.1097,0,0,0,0,0,0,0,0,0,0,0,42.7149,0,0.000229112,0.000229112,0.000229112
8,27.9673,0,0,31.7102,0,0,0,0,0,0,0,0,0,0,0,42.6364,0,0.00025842,0.00025842,0.00025842
9,31.3134,0,0,31.5543,0,0,0,0,0,0,0,0,0,0,0,42.6086,0,0.000286144,0.000286144,0.000286144
10,34.5756,0,0,30.9576,0,0,0,0,0,0,0,0,0,0,0,42.6195,0,0.000312284,0.000312284,0.000312284
11,37.8403,0,0,30.6051,0,0,0,0,0,0,0,0,0,0,0,42.5753,0,0.00033684,0.00033684,0.00033684
12,41.1346,0,0,30.0984,0,0,0,0,0,0,0,0,0,0,0,42.5753,0,0.000359812,0.000359812,0.000359812
13,44.7262,0,0,30.0615,0,0,0,0,0,0,0,0,0,0,0,42.4557,0,0.0003812,0.0003812,0.0003812
14,48.2173,0,0,29.5312,0,0,0,0,0,0,0,0,0,0,0,42.3502,0,0.000401004,0.000401004,0.000401004
15,51.6549,0,0,28.8193,0,0,0,0,0,0,0,0,0,0,0,42.3502,0,0.000419224,0.000419224,0.000419224
16,55.0766,0,0,28.5908,0,0,0,0,0,0,0,0,0,0,0,42.1631,0,0.00043586,0.00043586,0.00043586
17,58.5676,0,0,28.3412,0,0,0,0,0,0,0,0,0,0,0,41.9004,0,0.000450912,0.000450912,0.000450912
18,62.1866,0,0,27.7955,0,0,0,0,0,0,0,0,0,0,0,41.9004,0,0.00046438,0.00046438,0.00046438
19,66.1885,0,0,27.6883,0,0,0,0,0,0,0,0,0,0,0,41.6912,0,0.000476264,0.000476264,0.000476264
20,69.9622,0,0,26.7791,0,0,0,0,0,0,0,0,0,0,0,41.6912,0,0.000486564,0.000486564,0.000486564
21,73.5698,0,0,26.8926,0,0,0,0,0,0,0,0,0,0,0,41.8576,0,0.00049528,0.00049528,0.00049528
22,76.9572,0,0,26.0892,0,0,0,0,0,0,0,0,0,0,0,41.8576,0,0.000502412,0.000502412,0.000502412
23,80.4335,0,0,26.3187,0,0,0,0,0,0,0,0,0,0,0,41.9403,0,0.00050796,0.00050796,0.00050796
24,84.0149,0,0,25.4828,0,0,0,0,0,0,0,0,0,0,0,41.9403,0,0.000511924,0.000511924,0.000511924
25,87.9,0,0,25.731,0,0,0,0,0,0,0,0,0,0,0,41.955,0,0.000514304,0.000514304,0.000514304
26,91.8101,0,0,26.4921,0,0,0,0,0,0,0,0,0,0,0,41.955,0,0.0005151,0.0005151,0.0005151
27,95.2974,0,0,25.0427,0,0,0,0,0,0,0,0,0,0,0,41.955,0,0.000514312,0.000514312,0.000514312
28,99.0169,0,0,24.9962,0,0,0,0,0,0,0,0,0,0,0,41.5178,0,0.00051194,0.00051194,0.00051194
29,102.439,0,0,24.4376,0,0,0,0,0,0,0,0,0,0,0,41.5178,0,0.000507984,0.000507984,0.000507984
30,105.808,0,0,24.5793,0,0,0,0,0,0,0,0,0,0,0,42.2317,0,0.000502444,0.000502444,0.000502444
31,109.242,0,0,24.5996,0,0,0,0,0,0,0,0,0,0,0,42.2317,0,0.00049532,0.00049532,0.00049532
32,112.544,0,0,24.3488,0,0,0,0,0,0,0,0,0,0,0,42.2317,0,0.000486612,0.000486612,0.000486612
33,116.306,0,0,23.7336,0,0,0,0,0,0,0,0,0,0,0,43.2183,0,0.00047632,0.00047632,0.00047632
34,119.699,0,0,23.4746,0,0,0,0,0,0,0,0,0,0,0,43.2183,0,0.000464444,0.000464444,0.000464444
35,122.819,0,0,23.4324,0,0,0,0,0,0,0,0,0,0,0,43.2183,0,0.000450984,0.000450984,0.000450984
36,126.593,0,0,23.1823,0,0,0,0,0,0,0,0,0,0,0,42.6543,0,0.00043594,0.00043594,0.00043594
37,130.279,0,0,22.9327,0,0,0,0,0,0,0,0,0,0,0,42.6543,0,0.000419312,0.000419312,0.000419312
38,134.136,0,0,23.059,0,0,0,0,0,0,0,0,0,0,0,42.6543,0,0.0004011,0.0004011,0.0004011
39,138.122,0,0,23.2926,0,0,0,0,0,0,0,0,0,0,0,33.8285,0,0.000381304,0.000381304,0.000381304
40,141.577,0,0,23.1722,0,0,0,0,0,0,0,0,0,0,0,33.8285,0,0.000359924,0.000359924,0.000359924
41,144.811,0,0,22.8879,0,0,0,0,0,0,0,0,0,0,0,33.8285,0,0.00033696,0.00033696,0.00033696
42,148.724,0,0,22.8751,0,0,0,0,0,0,0,0,0,0,0,36.1563,0,0.000312412,0.000312412,0.000312412
43,152.897,0,0,22.1456,0,0,0,0,0,0,0,0,0,0,0,36.1563,0,0.00028628,0.00028628,0.00028628
44,157.62,0,0,22.5204,0,0,0,0,0,0,0,0,0,0,0,36.1563,0,0.000258564,0.000258564,0.000258564
45,161.936,0,0,22.4489,0,0,0,0,0,0,0,0,0,0,0,36.1563,0,0.000229264,0.000229264,0.000229264
46,166.331,0,0,22.424,0,0,0,0,0,0,0,0,0,0,0,53.9571,0,0.00019838,0.00019838,0.00019838
47,170.878,0,0,22.0764,0,0,0,0,0,0,0,0,0,0,0,53.9571,0,0.000165912,0.000165912,0.000165912
48,175.68,0,0,22.3544,0,0,0,0,0,0,0,0,0,0,0,53.9571,0,0.00013186,0.00013186,0.00013186
49,180.16,0,0,22.4949,0,0,0,0,0,0,0,0,0,0,0,53.9571,0,9.6224e-05,9.6224e-05,9.6224e-05
50,184.19,0,0,21.8204,0,0,0,0,0,0,0,0,0,0,0,69.4544,0,5.9004e-05,5.9004e-05,5.9004e-05
