epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3440.29,3.09006,1.52381,2.0763,0.77834,0.74419,0.81373,0.39381,3.55351,1.60961,2.10518,0.000126043,0.000126043,0.000126043
43,3508.21,3.07387,1.4961,2.11606,0.80753,0.73754,0.81295,0.36437,3.73187,1.67488,2.14832,0.0001218,0.0001218,0.0001218
44,3572.27,3.16002,1.49361,2.15692,0.80586,0.74751,0.7998,0.38701,3.55994,1.67746,2.11627,0.000117557,0.000117557,0.000117557
45,3632.07,3.04152,1.41459,2.09851,0.7324,0.7608,0.79568,0.37085,3.63797,1.70575,2.14282,0.000113314,0.000113314,0.000113314
46,3687,3.17024,1.48176,2.13822,0.7152,0.7608,0.76797,0.34065,3.80646,1.74492,2.15961,0.000109071,0.000109071,0.000109071
47,3746.76,2.95749,1.38848,2.03206,0.81056,0.71761,0.7975,0.37824,3.56933,1.66155,2.1255,0.000104829,0.000104829,0.000104829
48,3808.24,3.06859,1.37063,2.10065,0.78643,0.69731,0.79364,0.36415,3.65008,1.71302,2.13655,0.000100586,0.000100586,0.000100586
49,3868.07,3.04081,1.52436,2.05647,0.75348,0.71082,0.77866,0.34185,3.83633,1.73488,2.18643,9.63429e-05,9.63429e-05,9.63429e-05
50,3929.74,2.98187,1.36795,2.0921,0.74754,0.75415,0.79776,0.39055,3.45177,1.58202,2.10819,9.21e-05,9.21e-05,9.21e-05
51,3988.66,2.95138,1.34125,2.04019,0.75103,0.78738,0.80203,0.39566,3.41173,1.58125,2.09533,8.78571e-05,8.78571e-05,8.78571e-05
52,4056.32,2.88845,1.36851,2.1061,0.75742,0.75083,0.79013,0.38442,3.49265,1.62198,2.09772,8.36143e-05,8.36143e-05,8.36143e-05
53,4116,2.80268,1.36548,2.01696,0.75023,0.76837,0.79607,0.39088,3.46373,1.5948,2.10843,7.93714e-05,7.93714e-05,7.93714e-05
54,4176.9,2.8092,1.3178,2.00082,0.76705,0.74419,0.81034,0.41241,3.36594,1.56221,2.05972,7.51286e-05,7.51286e-05,7.51286e-05
55,4237.71,2.86514,1.34712,2.04477,0.80735,0.71096,0.80175,0.3916,3.51459,1.604,2.08565,7.08857e-05,7.08857e-05,7.08857e-05
56,4303,2.87517,1.42813,2.08345,0.74024,0.76687,0.80429,0.39931,3.41783,1.55942,2.09247,6.66429e-05,6.66429e-05,6.66429e-05
57,4362.96,2.88131,1.31505,2.05894,0.77308,0.747,0.80786,0.40388,3.40052,1.52963,2.05776,6.24e-05,6.24e-05,6.24e-05
58,4425.18,2.76724,1.27486,2.01128,0.7827,0.73422,0.8036,0.39622,3.44105,1.56411,2.05607,5.81571e-05,5.81571e-05,5.81571e-05
59,4485.36,2.72243,1.35363,1.95274,0.78439,0.74937,0.81002,0.40473,3.36767,1.5482,2.04833,5.39143e-05,5.39143e-05,5.39143e-05
60,4545.72,2.80882,1.27181,1.95404,0.76756,0.75748,0.81279,0.39964,3.4228,1.55744,2.05386,4.96714e-05,4.96714e-05,4.96714e-05
61,4629.59,2.70814,1.30694,1.95989,0.79634,0.77741,0.82836,0.41739,3.36276,1.50414,2.04227,4.54286e-05,4.54286e-05,4.54286e-05
62,4704.03,2.66803,1.2063,1.95326,0.80665,0.77409,0.84198,0.43591,3.25961,1.44076,2.03244,4.11857e-05,4.11857e-05,4.11857e-05
63,4775.74,2.6521,1.26826,1.92172,0.83215,0.74419,0.83532,0.4406,3.25965,1.43846,2.0262,3.69429e-05,3.69429e-05,3.69429e-05
64,4851.31,2.67217,1.25836,1.93889,0.85636,0.74086,0.83502,0.42912,3.29724,1.44804,2.03042,3.27e-05,3.27e-05,3.27e-05
65,4922.81,2.60107,1.17699,1.91235,0.85847,0.74564,0.8342,0.43961,3.24538,1.42994,2.02421,2.84571e-05,2.84571e-05,2.84571e-05
66,4993.12,2.57192,1.19826,1.8911,0.83524,0.75083,0.83399,0.44581,3.22745,1.44005,2.01767,2.42143e-05,2.42143e-05,2.42143e-05
67,5065.84,2.59069,1.1728,1.95291,0.83636,0.7309,0.83589,0.4419,3.26827,1.45889,2.0219,1.99714e-05,1.99714e-05,1.99714e-05
68,5137.34,2.52434,1.15006,1.9031,0.83423,0.73754,0.83191,0.43395,3.29069,1.45631,2.02397,1.57286e-05,1.57286e-05,1.57286e-05
69,5190.74,2.54194,1.22171,1.89049,0.83453,0.74751,0.83297,0.43804,3.26305,1.45991,2.01985,1.14857e-05,1.14857e-05,1.14857e-05
70,5258.02,2.61153,1.31607,1.97568,0.83933,0.74626,0.83141,0.44252,3.24912,1.45251,2.01616,7.24286e-06,7.24286e-06,7.24286e-06
